A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/5.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/5.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,1/3/2017 23:00,2017,1,3,23,253,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 0:00,2017,1,4,0,239,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 1:00,2017,1,4,1,243,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 2:00,2017,1,4,2,271,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 3:00,2017,1,4,3,235,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 4:00,2017,1,4,4,204,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 5:00,2017,1,4,5,174,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 6:00,2017,1,4,6,187,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 7:00,2017,1,4,7,185,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 8:00,2017,1,4,8,229,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 9:00,2017,1,4,9,198,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 10:00,2017,1,4,10,225,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 11:00,2017,1,4,11,274,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 12:00,2017,1,4,12,217,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 13:00,2017,1,4,13,165,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 14:00,2017,1,4,14,144,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 15:00,2017,1,4,15,49,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 16:00,2017,1,4,16,23,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 17:00,2017,1,4,17,35,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 18:00,2017,1,4,18,52,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 19:00,2017,1,4,19,52,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 20:00,2017,1,4,20,84,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 21:00,2017,1,4,21,52,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 22:00,2017,1,4,22,41,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 23:00,2017,1,4,23,56,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 0:00,2017,1,5,0,64,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 1:00,2017,1,5,1,67,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 2:00,2017,1,5,2,63,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 3:00,2017,1,5,3,85,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 4:00,2017,1,5,4,76,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 5:00,2017,1,5,5,69,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 6:00,2017,1,5,6,53,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 7:00,2017,1,5,7,51,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 8:00,2017,1,5,8,66,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 9:00,2017,1,5,9,76,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 10:00,2017,1,5,10,72,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 11:00,2017,1,5,11,69,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 12:00,2017,1,5,12,80,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 13:00,2017,1,5,13,99,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 14:00,2017,1,5,14,72,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 15:00,2017,1,5,15,73,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 16:00,2017,1,5,16,62,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 17:00,2017,1,5,17,59,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 18:00,2017,1,5,18,71,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 19:00,2017,1,5,19,92,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 20:00,2017,1,5,20,108,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 21:00,2017,1,5,21,135,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 22:00,2017,1,5,22,100,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 23:00,2017,1,5,23,130,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 0:00,2017,1,6,0,145,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 1:00,2017,1,6,1,163,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 2:00,2017,1,6,2,129,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 3:00,2017,1,6,3,138,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 4:00,2017,1,6,4,125,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 5:00,2017,1,6,5,130,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 6:00,2017,1,6,6,129,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 7:00,2017,1,6,7,171,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 8:00,2017,1,6,8,148,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 9:00,2017,1,6,9,153,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 10:00,2017,1,6,10,160,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 11:00,2017,1,6,11,175,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 12:00,2017,1,6,12,127,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 13:00,2017,1,6,13,100,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 14:00,2017,1,6,14,75,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 15:00,2017,1,6,15,91,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 16:00,2017,1,6,16,97,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 17:00,2017,1,6,17,124,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 18:00,2017,1,6,18,137,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 19:00,2017,1,6,19,97,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 20:00,2017,1,6,20,69,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 21:00,2017,1,6,21,82,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 22:00,2017,1,6,22,93,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 23:00,2017,1,6,23,106,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 0:00,2017,1,7,0,134,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 1:00,2017,1,7,1,134,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 2:00,2017,1,7,2,179,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 3:00,2017,1,7,3,200,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 4:00,2017,1,7,4,196,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 5:00,2017,1,7,5,190,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 6:00,2017,1,7,6,207,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 7:00,2017,1,7,7,222,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 8:00,2017,1,7,8,168,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 9:00,2017,1,7,9,123,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 10:00,2017,1,7,10,141,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 11:00,2017,1,7,11,237,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 12:00,2017,1,7,12,177,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 13:00,2017,1,7,13,205,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 14:00,2017,1,7,14,239,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 15:00,2017,1,7,15,214,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 16:00,2017,1,7,16,209,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 17:00,2017,1,7,17,223,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 18:00,2017,1,7,18,231,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 19:00,2017,1,7,19,216,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 20:00,2017,1,7,20,217,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 21:00,2017,1,7,21,219,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 22:00,2017,1,7,22,224,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 23:00,2017,1,7,23,233,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 0:00,2017,1,8,0,236,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 1:00,2017,1,8,1,232,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 2:00,2017,1,8,2,238,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 3:00,2017,1,8,3,254,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 4:00,2017,1,8,4,239,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 5:00,2017,1,8,5,240,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 6:00,2017,1,8,6,206,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 7:00,2017,1,8,7,208,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 8:00,2017,1,8,8,215,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 9:00,2017,1,8,9,210,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 10:00,2017,1,8,10,211,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 11:00,2017,1,8,11,236,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 12:00,2017,1,8,12,229,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 13:00,2017,1,8,13,250,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 14:00,2017,1,8,14,241,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 15:00,2017,1,8,15,205,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 16:00,2017,1,8,16,205,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 17:00,2017,1,8,17,198,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 18:00,2017,1,8,18,210,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 19:00,2017,1,8,19,234,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 20:00,2017,1,8,20,272,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 21:00,2017,1,8,21,233,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 22:00,2017,1,8,22,205,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 23:00,2017,1,8,23,199,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 0:00,2017,1,9,0,176,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 1:00,2017,1,9,1,118,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 2:00,2017,1,9,2,46,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 3:00,2017,1,9,3,28,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 4:00,2017,1,9,4,15,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 5:00,2017,1,9,5,14,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 6:00,2017,1,9,6,20,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 7:00,2017,1,9,7,14,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 8:00,2017,1,9,8,15,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 9:00,2017,1,9,9,16,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 10:00,2017,1,9,10,17,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 11:00,2017,1,9,11,15,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 12:00,2017,1,9,12,15,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 13:00,2017,1,9,13,17,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 14:00,2017,1,9,14,25,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 15:00,2017,1,9,15,12,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 16:00,2017,1,9,16,28,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 17:00,2017,1,9,17,22,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 18:00,2017,1,9,18,34,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 19:00,2017,1,9,19,34,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 20:00,2017,1,9,20,31,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 21:00,2017,1,9,21,42,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 22:00,2017,1,9,22,50,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 23:00,2017,1,9,23,47,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 0:00,2017,1,10,0,68,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 1:00,2017,1,10,1,70,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 2:00,2017,1,10,2,43,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 3:00,2017,1,10,3,19,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 4:00,2017,1,10,4,11,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 5:00,2017,1,10,5,11,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 6:00,2017,1,10,6,13,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 7:00,2017,1,10,7,12,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 8:00,2017,1,10,8,16,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 9:00,2017,1,10,9,23,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 10:00,2017,1,10,10,14,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 11:00,2017,1,10,11,17,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 12:00,2017,1,10,12,12,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 13:00,2017,1,10,13,16,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 14:00,2017,1,10,14,3,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 15:00,2017,1,10,15,22,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 16:00,2017,1,10,16,19,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 17:00,2017,1,10,17,28,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 18:00,2017,1,10,18,28,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 19:00,2017,1,10,19,42,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 20:00,2017,1,10,20,53,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 21:00,2017,1,10,21,57,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 22:00,2017,1,10,22,70,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 23:00,2017,1,10,23,78,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 0:00,2017,1,11,0,81,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 1:00,2017,1,11,1,87,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 2:00,2017,1,11,2,26,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 3:00,2017,1,11,3,20,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 4:00,2017,1,11,4,23,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 5:00,2017,1,11,5,19,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 6:00,2017,1,11,6,12,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 7:00,2017,1,11,7,143,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 8:00,2017,1,11,8,116,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 9:00,2017,1,11,9,104,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 10:00,2017,1,11,10,100,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 11:00,2017,1,11,11,66,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 12:00,2017,1,11,12,33,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 13:00,2017,1,11,13,43,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 14:00,2017,1,11,14,37,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 15:00,2017,1,11,15,43,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 16:00,2017,1,11,16,40,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 17:00,2017,1,11,17,48,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 18:00,2017,1,11,18,51,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 19:00,2017,1,11,19,64,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 20:00,2017,1,11,20,82,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 21:00,2017,1,11,21,77,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 22:00,2017,1,11,22,104,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/11/2017 23:00,2017,1,11,23,114,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 0:00,2017,1,12,0,102,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 1:00,2017,1,12,1,75,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 2:00,2017,1,12,2,52,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 3:00,2017,1,12,3,27,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 4:00,2017,1,12,4,8,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 5:00,2017,1,12,5,25,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 6:00,2017,1,12,6,30,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/12/2017 7:00,2017,1,12,7,24,µg/m³,1 Hr,Valid
