A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/2/2017 9:00,2017,1,2,9,78,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 10:00,2017,1,2,10,88,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 11:00,2017,1,2,11,79,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 12:00,2017,1,2,12,103,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 13:00,2017,1,2,13,121,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 14:00,2017,1,2,14,120,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 15:00,2017,1,2,15,104,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 16:00,2017,1,2,16,105,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 17:00,2017,1,2,17,104,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 18:00,2017,1,2,18,102,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 19:00,2017,1,2,19,70,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 20:00,2017,1,2,20,71,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 21:00,2017,1,2,21,81,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 22:00,2017,1,2,22,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 23:00,2017,1,2,23,79,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 0:00,2017,1,3,0,78,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 1:00,2017,1,3,1,79,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 2:00,2017,1,3,2,108,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 3:00,2017,1,3,3,126,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 4:00,2017,1,3,4,145,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 5:00,2017,1,3,5,153,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 6:00,2017,1,3,6,153,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 7:00,2017,1,3,7,152,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 8:00,2017,1,3,8,144,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 9:00,2017,1,3,9,150,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 10:00,2017,1,3,10,162,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 11:00,2017,1,3,11,123,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 12:00,2017,1,3,12,110,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 13:00,2017,1,3,13,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 14:00,2017,1,3,14,91,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 15:00,2017,1,3,15,90,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 16:00,2017,1,3,16,82,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 17:00,2017,1,3,17,78,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 18:00,2017,1,3,18,80,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 19:00,2017,1,3,19,75,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 20:00,2017,1,3,20,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 21:00,2017,1,3,21,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 22:00,2017,1,3,22,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 23:00,2017,1,3,23,65,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 0:00,2017,1,4,0,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 1:00,2017,1,4,1,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 2:00,2017,1,4,2,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 3:00,2017,1,4,3,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 4:00,2017,1,4,4,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 5:00,2017,1,4,5,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 6:00,2017,1,4,6,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 7:00,2017,1,4,7,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 8:00,2017,1,4,8,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 9:00,2017,1,4,9,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 10:00,2017,1,4,10,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 11:00,2017,1,4,11,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 12:00,2017,1,4,12,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 13:00,2017,1,4,13,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 14:00,2017,1,4,14,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 15:00,2017,1,4,15,75,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 16:00,2017,1,4,16,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 17:00,2017,1,4,17,75,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 18:00,2017,1,4,18,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 19:00,2017,1,4,19,62,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 20:00,2017,1,4,20,69,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 21:00,2017,1,4,21,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 22:00,2017,1,4,22,65,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 23:00,2017,1,4,23,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 0:00,2017,1,5,0,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 1:00,2017,1,5,1,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 2:00,2017,1,5,2,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 3:00,2017,1,5,3,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 4:00,2017,1,5,4,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 5:00,2017,1,5,5,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 6:00,2017,1,5,6,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 7:00,2017,1,5,7,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 8:00,2017,1,5,8,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 9:00,2017,1,5,9,34,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 10:00,2017,1,5,10,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 11:00,2017,1,5,11,34,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 12:00,2017,1,5,12,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 13:00,2017,1,5,13,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 14:00,2017,1,5,14,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 15:00,2017,1,5,15,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 16:00,2017,1,5,16,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 17:00,2017,1,5,17,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 18:00,2017,1,5,18,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 19:00,2017,1,5,19,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 20:00,2017,1,5,20,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 21:00,2017,1,5,21,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 22:00,2017,1,5,22,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 23:00,2017,1,5,23,23,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 0:00,2017,1,6,0,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 1:00,2017,1,6,1,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 2:00,2017,1,6,2,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 3:00,2017,1,6,3,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 4:00,2017,1,6,4,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 5:00,2017,1,6,5,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 6:00,2017,1,6,6,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 7:00,2017,1,6,7,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 8:00,2017,1,6,8,34,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 9:00,2017,1,6,9,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 10:00,2017,1,6,10,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 11:00,2017,1,6,11,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 12:00,2017,1,6,12,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 13:00,2017,1,6,13,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 14:00,2017,1,6,14,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 15:00,2017,1,6,15,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 16:00,2017,1,6,16,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 17:00,2017,1,6,17,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 18:00,2017,1,6,18,23,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 19:00,2017,1,6,19,16,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 20:00,2017,1,6,20,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 21:00,2017,1,6,21,16,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 22:00,2017,1,6,22,16,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 23:00,2017,1,6,23,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 0:00,2017,1,7,0,4,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 1:00,2017,1,7,1,13,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 2:00,2017,1,7,2,17,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 3:00,2017,1,7,3,11,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 4:00,2017,1,7,4,10,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 5:00,2017,1,7,5,15,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 6:00,2017,1,7,6,16,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 7:00,2017,1,7,7,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 8:00,2017,1,7,8,16,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 9:00,2017,1,7,9,17,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 10:00,2017,1,7,10,13,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 11:00,2017,1,7,11,17,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 12:00,2017,1,7,12,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 13:00,2017,1,7,13,12,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 14:00,2017,1,7,14,12,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 15:00,2017,1,7,15,13,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 16:00,2017,1,7,16,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 17:00,2017,1,7,17,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 18:00,2017,1,7,18,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 19:00,2017,1,7,19,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 20:00,2017,1,7,20,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 21:00,2017,1,7,21,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 22:00,2017,1,7,22,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 23:00,2017,1,7,23,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 0:00,2017,1,8,0,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 1:00,2017,1,8,1,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 2:00,2017,1,8,2,62,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 3:00,2017,1,8,3,75,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 4:00,2017,1,8,4,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 5:00,2017,1,8,5,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 6:00,2017,1,8,6,94,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 7:00,2017,1,8,7,106,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 8:00,2017,1,8,8,115,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 9:00,2017,1,8,9,124,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 10:00,2017,1,8,10,124,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 11:00,2017,1,8,11,126,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 12:00,2017,1,8,12,118,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 13:00,2017,1,8,13,137,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 14:00,2017,1,8,14,126,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 15:00,2017,1,8,15,129,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 16:00,2017,1,8,16,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 17:00,2017,1,8,17,89,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 18:00,2017,1,8,18,65,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 19:00,2017,1,8,19,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 20:00,2017,1,8,20,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 21:00,2017,1,8,21,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 22:00,2017,1,8,22,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 23:00,2017,1,8,23,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 0:00,2017,1,9,0,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 1:00,2017,1,9,1,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 2:00,2017,1,9,2,64,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 3:00,2017,1,9,3,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 4:00,2017,1,9,4,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 5:00,2017,1,9,5,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 6:00,2017,1,9,6,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 7:00,2017,1,9,7,80,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 8:00,2017,1,9,8,79,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 9:00,2017,1,9,9,69,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 10:00,2017,1,9,10,79,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 11:00,2017,1,9,11,69,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 12:00,2017,1,9,12,71,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 13:00,2017,1,9,13,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 14:00,2017,1,9,14,85,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 15:00,2017,1,9,15,84,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 16:00,2017,1,9,16,89,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 17:00,2017,1,9,17,92,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 18:00,2017,1,9,18,99,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 19:00,2017,1,9,19,103,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 20:00,2017,1,9,20,81,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 21:00,2017,1,9,21,71,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 22:00,2017,1,9,22,84,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 23:00,2017,1,9,23,84,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 0:00,2017,1,10,0,93,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 1:00,2017,1,10,1,94,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 2:00,2017,1,10,2,97,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 3:00,2017,1,10,3,84,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 4:00,2017,1,10,4,81,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 5:00,2017,1,10,5,88,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 6:00,2017,1,10,6,80,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 7:00,2017,1,10,7,88,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 8:00,2017,1,10,8,96,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 9:00,2017,1,10,9,103,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 10:00,2017,1,10,10,110,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 11:00,2017,1,10,11,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 12:00,2017,1,10,12,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 13:00,2017,1,10,13,103,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 14:00,2017,1,10,14,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 15:00,2017,1,10,15,97,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 16:00,2017,1,10,16,87,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 17:00,2017,1,10,17,75,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 18:00,2017,1,10,18,85,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 19:00,2017,1,10,19,91,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 20:00,2017,1,10,20,82,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 21:00,2017,1,10,21,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 22:00,2017,1,10,22,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 23:00,2017,1,10,23,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 0:00,2017,1,11,0,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 1:00,2017,1,11,1,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 2:00,2017,1,11,2,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 3:00,2017,1,11,3,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 4:00,2017,1,11,4,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 5:00,2017,1,11,5,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 6:00,2017,1,11,6,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 7:00,2017,1,11,7,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 8:00,2017,1,11,8,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 9:00,2017,1,11,9,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 10:00,2017,1,11,10,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 11:00,2017,1,11,11,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 12:00,2017,1,11,12,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 13:00,2017,1,11,13,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 14:00,2017,1,11,14,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 15:00,2017,1,11,15,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 16:00,2017,1,11,16,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 17:00,2017,1,11,17,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 18:00,2017,1,11,18,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 19:00,2017,1,11,19,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 20:00,2017,1,11,20,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 21:00,2017,1,11,21,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 22:00,2017,1,11,22,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 23:00,2017,1,11,23,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 0:00,2017,1,12,0,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 1:00,2017,1,12,1,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 2:00,2017,1,12,2,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 3:00,2017,1,12,3,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 4:00,2017,1,12,4,46,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 5:00,2017,1,12,5,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 6:00,2017,1,12,6,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 7:00,2017,1,12,7,54,µg/m³,1 Hr,Valid
