A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,1/2/2017 17:00,2017,1,2,17,234,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 18:00,2017,1,2,18,179,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 19:00,2017,1,2,19,170,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 20:00,2017,1,2,20,139,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 21:00,2017,1,2,21,159,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 22:00,2017,1,2,22,210,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2017 23:00,2017,1,2,23,214,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 0:00,2017,1,3,0,283,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 1:00,2017,1,3,1,313,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 2:00,2017,1,3,2,341,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 3:00,2017,1,3,3,357,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 4:00,2017,1,3,4,347,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 5:00,2017,1,3,5,379,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 6:00,2017,1,3,6,375,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 7:00,2017,1,3,7,370,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 8:00,2017,1,3,8,365,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 9:00,2017,1,3,9,361,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 10:00,2017,1,3,10,295,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 11:00,2017,1,3,11,235,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 12:00,2017,1,3,12,238,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 13:00,2017,1,3,13,247,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 14:00,2017,1,3,14,256,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 15:00,2017,1,3,15,293,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 16:00,2017,1,3,16,310,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 17:00,2017,1,3,17,284,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 18:00,2017,1,3,18,356,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 19:00,2017,1,3,19,418,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 20:00,2017,1,3,20,505,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 21:00,2017,1,3,21,542,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 22:00,2017,1,3,22,548,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2017 23:00,2017,1,3,23,563,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 0:00,2017,1,4,0,576,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 1:00,2017,1,4,1,559,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 2:00,2017,1,4,2,577,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 3:00,2017,1,4,3,590,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 4:00,2017,1,4,4,565,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 5:00,2017,1,4,5,542,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 6:00,2017,1,4,6,482,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 7:00,2017,1,4,7,431,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 8:00,2017,1,4,8,382,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 9:00,2017,1,4,9,350,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 10:00,2017,1,4,10,384,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 11:00,2017,1,4,11,163,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 12:00,2017,1,4,12,251,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 13:00,2017,1,4,13,313,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 14:00,2017,1,4,14,335,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 15:00,2017,1,4,15,365,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 16:00,2017,1,4,16,343,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 17:00,2017,1,4,17,323,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 18:00,2017,1,4,18,332,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 19:00,2017,1,4,19,371,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 20:00,2017,1,4,20,395,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 21:00,2017,1,4,21,390,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 22:00,2017,1,4,22,369,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2017 23:00,2017,1,4,23,242,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 0:00,2017,1,5,0,164,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 1:00,2017,1,5,1,159,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 2:00,2017,1,5,2,159,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 3:00,2017,1,5,3,186,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 4:00,2017,1,5,4,228,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 5:00,2017,1,5,5,246,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 6:00,2017,1,5,6,330,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 7:00,2017,1,5,7,322,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 8:00,2017,1,5,8,302,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 9:00,2017,1,5,9,301,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 10:00,2017,1,5,10,286,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 11:00,2017,1,5,11,269,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 12:00,2017,1,5,12,261,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 13:00,2017,1,5,13,205,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 14:00,2017,1,5,14,200,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 15:00,2017,1,5,15,229,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 16:00,2017,1,5,16,206,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 17:00,2017,1,5,17,200,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 18:00,2017,1,5,18,216,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 19:00,2017,1,5,19,208,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 20:00,2017,1,5,20,204,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 21:00,2017,1,5,21,214,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 22:00,2017,1,5,22,220,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2017 23:00,2017,1,5,23,191,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 0:00,2017,1,6,0,198,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 1:00,2017,1,6,1,205,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 2:00,2017,1,6,2,216,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 3:00,2017,1,6,3,243,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 4:00,2017,1,6,4,227,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 5:00,2017,1,6,5,230,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 6:00,2017,1,6,6,259,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 7:00,2017,1,6,7,254,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 8:00,2017,1,6,8,254,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 9:00,2017,1,6,9,264,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 10:00,2017,1,6,10,293,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 11:00,2017,1,6,11,302,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 12:00,2017,1,6,12,246,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 13:00,2017,1,6,13,204,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 14:00,2017,1,6,14,205,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 15:00,2017,1,6,15,211,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 16:00,2017,1,6,16,230,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 17:00,2017,1,6,17,225,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 18:00,2017,1,6,18,223,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 19:00,2017,1,6,19,227,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 20:00,2017,1,6,20,234,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 21:00,2017,1,6,21,248,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 22:00,2017,1,6,22,260,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2017 23:00,2017,1,6,23,250,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 0:00,2017,1,7,0,267,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 1:00,2017,1,7,1,263,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 2:00,2017,1,7,2,251,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 3:00,2017,1,7,3,225,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 4:00,2017,1,7,4,291,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 5:00,2017,1,7,5,259,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 6:00,2017,1,7,6,227,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 7:00,2017,1,7,7,217,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 8:00,2017,1,7,8,215,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 9:00,2017,1,7,9,175,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 10:00,2017,1,7,10,162,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 11:00,2017,1,7,11,185,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 12:00,2017,1,7,12,194,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 13:00,2017,1,7,13,182,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 14:00,2017,1,7,14,130,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 15:00,2017,1,7,15,107,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 16:00,2017,1,7,16,111,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 17:00,2017,1,7,17,111,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 18:00,2017,1,7,18,116,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 19:00,2017,1,7,19,130,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 20:00,2017,1,7,20,137,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 21:00,2017,1,7,21,164,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 22:00,2017,1,7,22,197,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2017 23:00,2017,1,7,23,205,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 0:00,2017,1,8,0,65,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 1:00,2017,1,8,1,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 2:00,2017,1,8,2,24,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 3:00,2017,1,8,3,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 4:00,2017,1,8,4,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 5:00,2017,1,8,5,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 6:00,2017,1,8,6,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 7:00,2017,1,8,7,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 8:00,2017,1,8,8,22,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 9:00,2017,1,8,9,21,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 10:00,2017,1,8,10,24,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 11:00,2017,1,8,11,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 12:00,2017,1,8,12,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 13:00,2017,1,8,13,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 14:00,2017,1,8,14,23,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 15:00,2017,1,8,15,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 16:00,2017,1,8,16,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 17:00,2017,1,8,17,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 18:00,2017,1,8,18,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 19:00,2017,1,8,19,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 20:00,2017,1,8,20,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 21:00,2017,1,8,21,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 22:00,2017,1,8,22,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2017 23:00,2017,1,8,23,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 0:00,2017,1,9,0,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 1:00,2017,1,9,1,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 2:00,2017,1,9,2,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 3:00,2017,1,9,3,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 4:00,2017,1,9,4,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 5:00,2017,1,9,5,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 6:00,2017,1,9,6,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 7:00,2017,1,9,7,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,1/9/2017 8:00,2017,1,9,8,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 9:00,2017,1,9,9,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 10:00,2017,1,9,10,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 11:00,2017,1,9,11,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 12:00,2017,1,9,12,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 13:00,2017,1,9,13,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 14:00,2017,1,9,14,21,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 15:00,2017,1,9,15,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 16:00,2017,1,9,16,35,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 17:00,2017,1,9,17,36,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 18:00,2017,1,9,18,47,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 19:00,2017,1,9,19,60,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 20:00,2017,1,9,20,94,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 21:00,2017,1,9,21,136,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 22:00,2017,1,9,22,150,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2017 23:00,2017,1,9,23,151,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 0:00,2017,1,10,0,115,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 1:00,2017,1,10,1,60,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 2:00,2017,1,10,2,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 3:00,2017,1,10,3,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 4:00,2017,1,10,4,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 5:00,2017,1,10,5,4,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 6:00,2017,1,10,6,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 7:00,2017,1,10,7,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 8:00,2017,1,10,8,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 9:00,2017,1,10,9,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 10:00,2017,1,10,10,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 11:00,2017,1,10,11,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 12:00,2017,1,10,12,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 13:00,2017,1,10,13,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 14:00,2017,1,10,14,5,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 15:00,2017,1,10,15,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 16:00,2017,1,10,16,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,1/10/2017 17:00,2017,1,10,17,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 18:00,2017,1,10,18,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 19:00,2017,1,10,19,31,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 20:00,2017,1,10,20,84,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 21:00,2017,1,10,21,93,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 22:00,2017,1,10,22,86,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2017 23:00,2017,1,10,23,89,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 0:00,2017,1,11,0,88,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 1:00,2017,1,11,1,81,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 2:00,2017,1,11,2,93,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 3:00,2017,1,11,3,100,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 4:00,2017,1,11,4,105,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 5:00,2017,1,11,5,96,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 6:00,2017,1,11,6,74,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 7:00,2017,1,11,7,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,1/11/2017 8:00,2017,1,11,8,58,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 9:00,2017,1,11,9,55,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 10:00,2017,1,11,10,48,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 11:00,2017,1,11,11,61,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 12:00,2017,1,11,12,71,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 13:00,2017,1,11,13,58,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 14:00,2017,1,11,14,46,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 15:00,2017,1,11,15,41,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 16:00,2017,1,11,16,45,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 17:00,2017,1,11,17,76,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 18:00,2017,1,11,18,98,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 19:00,2017,1,11,19,99,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 20:00,2017,1,11,20,69,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 21:00,2017,1,11,21,36,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 22:00,2017,1,11,22,21,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2017 23:00,2017,1,11,23,35,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 0:00,2017,1,12,0,46,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 1:00,2017,1,12,1,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 2:00,2017,1,12,2,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 3:00,2017,1,12,3,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 4:00,2017,1,12,4,26,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 5:00,2017,1,12,5,30,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 6:00,2017,1,12,6,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 7:00,2017,1,12,7,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 8:00,2017,1,12,8,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 9:00,2017,1,12,9,24,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 10:00,2017,1,12,10,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 11:00,2017,1,12,11,24,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 12:00,2017,1,12,12,22,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2017 13:00,2017,1,12,13,51,µg/m³,1 Hr,Valid
